"Name","Enabled","alkPCmodel","CanonicalName","info","serialNumber","Created","Description","LastLogonDate","OperatingSystem","Location"
"PC000544","True","Dell Latitude E5530","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000544","Za Praktikanti","BWF7XW1","07.2.2017 08:30:30","08655","03.11.2023 08:14:14","Windows 10 Enterprise",
"PC000012","False",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000012",,,"16.5.2019 15:45:13","09902","10.7.2023 11:07:32","Windows 10 Enterprise",
"PC000361","True","Dell Latitude 5530","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000361",,"9BJW6S3","02.2.2023 09:56:55","11599","20.11.2023 06:31:07","Windows 10 Enterprise",
"PC000364","True","Dell Latitude 5530","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000364",,"6CJW36S3","02.2.2023 09:36:04","11602","20.11.2023 07:38:47","Windows 10 Enterprise",
"PC000071","False",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000071",,,"20.6.2019 14:24:06","08705","15.5.2023 07:13:03","Windows 10 Enterprise",
"PC000042","False",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000042",,,"06.7.2015 11:39:34","08117","08.5.2023 08:39:13","Windows 10 Enterprise",
"PC000326","True","Dell Latitude 5530","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000326",,"CCJW6S3","26.1.2023 11:39:40","11573","20.11.2023 07:26:47","Windows 10 Enterprise",
"PCLKOZ0004","False","Dell Optiplex 745","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PCLKOZ0004","none","CDYLD2J","28.5.2007 13:24:50","2966","17.8.2020 07:09:35","Windows 7 Professional",
"PC000421","False","Dell OptiPlex 7010","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000421",,"8NNTV22","22.2.2023 12:35:28","08291","22.6.2023 09:56:01","Windows 10 Enterprise",
"PC000821","True",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000821",,,"15.12.2020 17:59:51","10535","13.11.2023 13:31:16","Windows 11 Enterprise",
"PC000517","True","Dell Latitude E5550","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000517","Za Praktikant","57S2D72","23.12.2015 13:18:21","08094","27.10.2023 13:48:32","Windows 10 Enterprise",
"PC000066","False",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000066",,,"14.10.2016 15:25:47","08708","17.9.2023 12:28:05","Windows 10 Enterprise",
"PC000299","True","Dell Latitude 5520","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000299","mtomik","62JDSG3","21.6.2022 08:32:08","11122","20.11.2023 07:37:17","Windows 10 Enterprise",
"PCAIT0403","False","Dell Latitude E5540","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PCAIT0403","Rashod Skrsen ekran","2BMHJ12","25.11.2014 13:17:12","8265","08.5.2023 08:50:40","Windows 10 Enterprise",
"PC000333","True","Dell Latitude 5530","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000333",,"82JW6S3","27.1.2023 08:57:56","11579","27.11.2023 07:37:41","Windows 10 Enterprise",
"PC000373","True","Dell Latitude 5530","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000373",,"2DJW6S3","03.2.2023 14:36:53","11611","27.11.2023 08:23:01","Windows 10 Enterprise",
"PCAUZ4055","False",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PCAUZ4055",,,"21.3.2013 18:08:48","08502","28.4.2023 08:43:33","Windows 10 Enterprise",
"PC000331","True","Dell Latitude 5530","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000331",,"GDJW6S3","27.1.2023 08:58:41","11577","27.11.2023 07:01:30","Windows 10 Enterprise",
"PC000515","True","Dell Latitude E5550","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000515","Za Praktikant","84XF462","23.11.2015 14:20:17","08125","25.9.2023 07:06:52","Windows 10 Enterprise",
"IPCAIT0001","True","Dell Optiplex 7090","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0001",,"6PDJWP3","27.2.2023 08:19:21","11354",,,
"IPCAIT0002","True","Dell Optiplex 7090","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0002",,"2PDJWP3","27.2.2023 08:26:46","11349",,,
"PC000522","True",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000522",,,"09.5.2023 08:51:39","08548","20.10.2023 13:37:10","Windows 10 Enterprise",
"PC000005","True",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000005",,,"28.4.2017 09:46:53","09159","16.11.2023 14:10:48","Windows 11 Enterprise",
"IPCAIT0003","True","Dell Optiplex 7090","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0003",,"4PDJWP3","27.2.2023 08:38:59","11351",,,
"IPCAIT0004","True","Dell Optiplex 7090","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0004","Daden vo KKF za Standalone Chromeleon Ne se vodi","3PDJWP3","27.2.2023 08:40:13","11350",,,
"IPCAIT0005","True","Dell Optiplex 7090","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0005",,"5PDJWP3","27.2.2023 08:41:35","11352",,,
"IPCAIT0006","True","Dell Optiplex 7090","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0006",,"1PDJWP3","27.2.2023 08:42:47","11348",,,
"PC000300","True","Dell Latitude 5530","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000300",,"42JW6S3","18.1.2023 09:14:39","11547","27.11.2023 07:57:51","Windows 10 Enterprise",
"PC000666","True","Dell Latitude 5410","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000666",,"8VWN893","31.12.2020 08:16:12","10549","07.11.2023 08:05:36","Windows 10 Enterprise",
"PCLUZ1010","False",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PCLUZ1010",,,"22.8.2017 10:36:43","09326","10.8.2023 07:39:31","Windows 10 Pro",
"PC000525","True","Dell Latitude E6520","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000525","Za Praktikanti","CNDZ6R1","09.5.2023 12:55:39","08936","24.9.2023 14:10:03","Windows 10 Enterprise",
"PC000223","False",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000223",,,"21.3.2013 17:28:49","08503","20.4.2023 09:21:28","Windows 10 Enterprise",
"PC000335","True","Dell Latitude 5530","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000335",,"5CJW6S3","30.1.2023 09:17:04","11581","23.11.2023 11:41:33","Windows 10 Enterprise",
"PC000306","True","Dell Latitude 5530","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000306",,"81J6S3","18.1.2023 12:19:26","11553","22.11.2023 07:30:21","Windows 10 Enterprise",
"PCAKONZ0005","False",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PCAKONZ0005",,,"06.3.2023 15:03:58",,"06.3.2023 15:03:58","Windows 10 Enterprise",
"PC000072","False",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000072",,,"07.5.2019 15:48:19","08982","08.5.2023 07:46:22","Windows 10 Enterprise",
"STDPC0001","True","Dell Optiplex 790","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/STDPC0001","Za Delovi za IPC","38X2D5J","28.3.2023 14:23:22","08003",,,
"STDPC0002","True","Dell Optiplex 7010","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/STDPC0002","Za Delovi za IPC","JSVJD22","28.3.2023 14:27:27","08298",,,
"STDPC0003","True","Dell Optiplex 790","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/STDPC0003","Za Delovi za IPC","1VXD65J","28.3.2023 14:29:37","07963",,,
"STDPC0004","True","Dell Optiplex 5040","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/STDPC0004","Za Delovi za IPC","3KSLRH2","28.3.2023 14:31:16","08597",,,
"PC000380","True","Dell Latitude 5430","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000380",,"H2R41T3","06.2.2023 09:27:10","11517","14.11.2023 21:48:05","Windows 10 Enterprise",
"STDPC0005","True","Dell Optiplex 5050","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/STDPC0005","Za Delovi za IPC","50WS1L2","28.3.2023 14:33:42","09492",,,
"STDPC0006","True","Dell Optiplex 5040","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/STDPC0006","Za Delovi za IPC","17BY3J2","28.3.2023 14:34:56","08590",,,
"PC000426","True","Dell Latitude 5590","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000426",,"FGFFNV2","27.2.2023 15:25:40","09910","17.10.2023 08:38:31","Windows 10 Enterprise",
"PC000343","True","Dell Latitude 5530","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000343",,"5BJW6S3","30.1.2023 12:42:41","11589","23.11.2023 09:15:31","Windows 10 Enterprise",
"PCLQC0009","False",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PCLQC0009",,,"15.4.2013 16:04:55","08510","30.3.2023 20:09:54","Windows 10 Enterprise",
"STDPC0011","True","Dell Optiplex 760","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/STDPC0011","Za Delovi za IPC","1K8354J","28.3.2023 14:47:20","00263",,,
"STDPC0008","True","Dell Optiplex 7020","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/STDPC0008","Za Delovi za IPC","J48KS42","28.3.2023 14:53:39","08248",,,
"STDPC0009","True","Dell Optiplex 780","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/STDPC0009","Za Delovi za IPC","365925J","28.3.2023 14:55:04","07929",,,
"STDPC0010","True","Dell Optiplex 9020","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/STDPC0010","Za Delovi za IPC","9RBNV02","28.3.2023 14:56:30","08342",,,
"IPCAIT0011","True","Dell Optiplex 7040","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0011","Polovni IPC za instalacija koga ke treba","HZL7DK2","28.3.2023 15:10:02","09249",,,
"IPCAIT0012","True","Dell Optiplex 7040","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0012","Polovni IPC za instalacija koga ke treba","9GHQYJ2","28.3.2023 15:12:11","09175",,,
"IPCAIT0013","True","Dell Optiplex 7040","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0013","Polovno IPC za instalacija koga ke treba","9GKMYJ2","28.3.2023 15:14:47","09176",,,
"IPCAIT0014","True","Dell Optiplex 7040","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0014","Polovno IPC za instalacija koga ke treba","9GLLYJ2","28.3.2023 15:17:07","09177",,,
"PCAUZ4088","False",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PCAUZ4088",,,"14.7.2016 08:56:15",,"30.6.2023 09:08:03","Windows 10 Enterprise",
"PCAPPZ2008","False",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PCAPPZ2008",,,"05.6.2019 11:23:51","08240","29.5.2023 07:17:57","Windows 10 Enterprise",
"PC000314","True","Dell Latitude 5530","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000314",,"3DJW6S3","20.1.2023 11:48:25","11561","27.11.2023 14:16:32","Windows 10 Enterprise",
"PC000527","True","Dell Latitude E5520","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000527","Za Praktikanti","HDS9CT1","11.5.2023 08:50:38","07980","01.8.2023 07:37:19","Windows 10 Enterprise",
"PCAMV0006","False",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PCAMV0006",,,"04.12.2014 12:09:21","08852","18.4.2023 07:37:09","Windows 10 Enterprise",
"PC000276","False",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000276",,,"21.3.2013 17:21:59","08504","25.4.2023 10:49:43","Windows 10 Enterprise",
"PC000389","True","Dell OptiPlex 5090 MFF","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000389",,"96Y98L3","27.2.2023 10:59:07","11628","01.11.2023 08:13:32","Windows 11 Enterprise",
"PC000383","True","Dell Latitude 7430","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000383",,"971VTQ3","07.2.2023 10:06:27","11502","08.11.2023 12:27:57","Windows 10 Enterprise",
"PC000513","True","Dell Latitude E5530","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000513","Za Praktikant","31G7XW1","04.5.2023 13:53:48","00016","26.9.2023 07:27:11","Windows 10 Enterprise",
"PC000823","True",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000823",,,"27.9.2021 08:48:39","10884","27.11.2023 11:50:31","Windows 11 Enterprise",
"IPCAIT0007","True","Dell OptiPlex 5000 MT","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0007",,"F3WQ4T3","28.2.2023 13:59:04","11619",,,
"IPCAIT0008","True","Dell OptiPlex 5000 MT","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0008",,"14WQ4T3","28.2.2023 14:00:33","11620",,,
"IPCAIT0009","True","Dell OptiPlex 7000 MT","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0009",,"53WQ4T3","28.2.2023 14:01:25","11635",,,
"IPCAIT0010","True","Dell OptiPlex 7000 MT","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/IPCAIT0010",,"63WQ4T3","28.2.2023 14:02:13","11636",,,
"PC000514","True","Dell Latitude E5540","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PC000514","Za Praktikant","32MHJ12","04.5.2023 15:20:24","08285","25.9.2023 09:36:55","Windows 10 Enterprise",
"STDAIT0002","True","Dell OptiPlex 5000 SFF","AlkaloidAD.local/Alkaloid/Computers/IT Magacin/STDAIT0002",,"74WQ4T3","28.2.2023 14:05:32","11618",,,
"PCAMPMPP1002","True",,"AlkaloidAD.local/Alkaloid/Computers/IT Magacin/PCAMPMPP1002",,,"27.1.2020 13:27:47","10077","19.9.2023 09:12:47","Windows 10 Enterprise",
